#ring	det	x	y	z
0	0	63.019	0.000	-99.000
0	1	62.981	2.199	-99.000
0	2	62.865	4.396	-99.000
0	3	62.674	6.587	-99.000
0	4	62.406	8.771	-99.000
0	5	62.062	10.943	-99.000
0	6	61.642	13.102	-99.000
0	7	61.147	15.246	-99.000
0	8	60.578	17.370	-99.000
0	9	59.935	19.474	-99.000
0	10	59.218	21.554	-99.000
0	11	58.430	23.607	-99.000
0	12	57.571	25.632	-99.000
0	13	56.641	27.626	-99.000
0	14	55.642	29.586	-99.000
0	15	54.576	31.509	-99.000
0	16	53.443	33.395	-99.000
0	17	52.245	35.240	-99.000
0	18	50.983	37.042	-99.000
0	19	49.660	38.798	-99.000
0	20	48.275	40.508	-99.000
0	21	46.832	42.168	-99.000
0	22	45.332	43.777	-99.000
0	23	43.777	45.332	-99.000
0	24	42.168	46.832	-99.000
0	25	40.508	48.275	-99.000
0	26	38.798	49.660	-99.000
0	27	37.042	50.983	-99.000
0	28	35.240	52.245	-99.000
0	29	33.395	53.443	-99.000
0	30	31.509	54.576	-99.000
0	31	29.586	55.642	-99.000
0	32	27.626	56.641	-99.000
0	33	25.632	57.571	-99.000
0	34	23.607	58.430	-99.000
0	35	21.554	59.218	-99.000
0	36	19.474	59.935	-99.000
0	37	17.370	60.578	-99.000
0	38	15.246	61.147	-99.000
0	39	13.102	61.642	-99.000
0	40	10.943	62.062	-99.000
0	41	8.771	62.406	-99.000
0	42	6.587	62.674	-99.000
0	43	4.396	62.865	-99.000
0	44	2.199	62.981	-99.000
0	45	0.000	63.019	-99.000
0	46	-2.199	62.981	-99.000
0	47	-4.396	62.865	-99.000
0	48	-6.587	62.674	-99.000
0	49	-8.771	62.406	-99.000
0	50	-10.943	62.062	-99.000
0	51	-13.102	61.642	-99.000
0	52	-15.246	61.147	-99.000
0	53	-17.370	60.578	-99.000
0	54	-19.474	59.935	-99.000
0	55	-21.554	59.218	-99.000
0	56	-23.607	58.430	-99.000
0	57	-25.632	57.571	-99.000
0	58	-27.626	56.641	-99.000
0	59	-29.586	55.642	-99.000
0	60	-31.509	54.576	-99.000
0	61	-33.395	53.443	-99.000
0	62	-35.240	52.245	-99.000
0	63	-37.042	50.983	-99.000
0	64	-38.798	49.660	-99.000
0	65	-40.508	48.275	-99.000
0	66	-42.168	46.832	-99.000
0	67	-43.777	45.332	-99.000
0	68	-45.332	43.777	-99.000
0	69	-46.832	42.168	-99.000
0	70	-48.275	40.508	-99.000
0	71	-49.660	38.798	-99.000
0	72	-50.983	37.042	-99.000
0	73	-52.245	35.240	-99.000
0	74	-53.443	33.395	-99.000
0	75	-54.576	31.509	-99.000
0	76	-55.642	29.586	-99.000
0	77	-56.641	27.626	-99.000
0	78	-57.571	25.632	-99.000
0	79	-58.430	23.607	-99.000
0	80	-59.218	21.554	-99.000
0	81	-59.935	19.474	-99.000
0	82	-60.578	17.370	-99.000
